,Unnamed: 0,index,ID,text,course,level,AYA_8B_vanilla,AYA_8B_avg,AYA_8B_entropy,AYA_32B_vanilla,AYA_32B_avg,AYA_32B_entropy,noscale_AYA_32B_vanilla,noscale_AYA_32B_avg,noscale_AYA_32B_entropy,noscale_AYA_8B_vanilla,noscale_AYA_8B_avg,noscale_AYA_8B_entropy,cefr_AYA_8B_vanilla,cefr_AYA_8B_avg,cefr_AYA_8B_entropy,cefr_AYA_32B_vanilla,cefr_AYA_32B_avg,cefr_AYA_32B_entropy,conf_noscale_aya_32B_vanilla,conf_noscale_aya_32B_avg,conf_noscale_aya_32B_entropy,conf_noscale_aya_32B_verbal_conf,conf_aya_32B_vanilla,conf_aya_32B_avg,conf_aya_32B_entropy,conf_aya_32B_verbal_conf,FKGL,ARI,LIX,RSRS_mBERT
0,0,59,60,"Τα Λαζαράκια
 Το Σάββατο του Λαζάρου τα παιδιά σε αρκετές περιοχές της Ελλάδας γυρίζουν από πόρτα σε πόρτα τραγουδώντας κάλαντα που μιλούν
 για την Ανάσταση του Λαζάρου. Κρατούν άβαφα αυγά και μικρά
 ψωμάκια, τα «Λαζαράκια» ή «Λαζαρέλια». Συνήθως περιέχουν ξηρούς
 καρπούς, κανέλα, σταφίδες και ταχίνι και είναι πλασμένα σαν ανθρωπάκια με μακρύ ρούχο και σαρίκι στο κεφάλι.
 Τα Λαζαρέλια υπάρχουν και σ’ ένα έθιμο του Πόντου, μόνο που οι
 Πόντιοι τα ονομάζουν «κερκέλε» και τα δίνουν μαζί με άσπρα αυγά
 στα παιδιά που τραγουδούσαν την Κυριακή των Βαΐων.
 Πολιτιστικό περιοδικό, Άωτον… το άκρο του πολιτισμού,
 εκδ. Ελληνική Πρωτοβουλία Ο.Ε., Μάιος - Ιούνιος 2005
",language,4,3,2.9796788385751825,0.0079836207767345,3,3.029314262078202,0.0106288491225888,4,4.269247313971903,0.0471650100253901,3,3.274760051127032,0.0505137725241973,3,2.999621002873523,0.0003475014268959,3,3.0000174259621417,2.991115271462676e-05,5,4.920538067348389,0.0310528053401763,7.000135879032314,3,3.2689508089401897,0.0467584393321838,7.320815248027628,1.9,11.3,48.14227642276423,0.0010508258004026
1,1,59,60,"Τι θα κάνουμε; Πώς θα τους σταματήσουμε;
 Πόσους άντρες έχουμε;
 Το πολύ εξακόσιους και μόνο λίγα όπλα!
 Και οι τροφές;
 Φτάνουν δε φτάνουν για έναν μήνα!
 Μια λύση μόνο υπάρχει, να τους καθυστερήσουμε!
 Και πώς θα γίνει αυτό;
 Θα τους μηνύσουμε με τον Γούναρη ότι δήθεν θέλουμε να
 διαπραγματευτούμε!
 ΜΠΟΤΣΑΡΗΣ:
 Και τι θα κερδίσουμε με αυτό;
 ΜΑΥΡΟΚΟΡΔΑΤΟΣ: Χρόνο, φίλε μου!
 Σηκώνεται ενθουσιασμένος και τον πιάνει από τους ώμους.
 ΜΑΥΡΟΚΟΡΔΑΤΟΣ: Χρόνο! Έτσι θα προλάβει να έρθει η βοήθεια που ζητήσαμε!
 Δίνουν τα χέρια, η αυλαία κλείνει.
 ΑΦΗΓΗΤΗΣ Α΄:
 ΑΦΗΓΗΤΗΣ Β΄:
 ΑΦΗΓΗΤΗΣ Γ΄:
 ΑΦΗΓΗΤΗΣ Δ΄:
",language,6,3,3.609033672051737,0.062213960288703,3,3.5018560084171213,0.0563579695686409,5,4.836940238132229,0.0366681552991205,7,6.327549156150781,0.0860193365735818,4,3.8715977777355874,0.0835986080705807,3,2.9964112457546435,0.0019174316609148,5,4.805657120872411,0.0434996275419391,7.025880647372105,3,3.0543017748064187,0.0170519737233078,7.946597456225447,0.2,8.5,32.9864406779661,0.0007972860346807
2,2,11,12,"w Ουσιαστικό (ατμός)
 w Επίθετο (ωφέλιμο)
 w Μετοχή (ευλογημένο)
 Το κατηγορούμενο βρίσκεται στην ίδια πτώση με το υποκείμενο του
 ρήματος, δηλαδή στην ονομαστική. Έτσι το ξεχωρίζουμε εύκολα
 από το αντικείμενο, που είναι σε πτώση αιτιατική.
 Tα ρήματα που συνδέουν το υποκείμενο με το κατηγορούμενο λέγονται συνδετικά. Tέτοια ρήματα είναι: γίνομαι, φαίνομαι, είμαι, μοιάζω, διορίζομαι, ονομάζομαι κτλ.
 3. Οι χρωματισμένες ταινίες περιγράφουν κάποια ζώα. Κάθε χρώμα αντιστοιχεί
 σ’ ένα ζώο.
 w Αντιγράψτε κάθε πρόταση δίπλα στο ζώο που ταιριάζει.
 Οι κινήσεις της/του είναι αργές.
 Η ουρά του/της είναι φουντωτή.
 Τα πίσω πόδια του/της είναι μακριά.
 Όσο μεγαλώνει, το καβούκι του/της γίνεται σκληρό.
 Το τρίχωμά του/της είναι κοκκινωπό.
 Η φωλιά του/της είναι κρυμμένη στο χώμα.
",language,4,3,3.0687046375924183,0.0211825255290956,4,3.8670859505109534,0.0315154007789646,7,6.187470060077203,0.0867287089310135,4,4.283539172960445,0.0864958699926465,3,2.874175081953581,0.0698005484595238,3,3.009698348114391,0.0043993165225145,7,6.94545300158471,0.0172358035735756,7.99881722185728,4,3.906138083572145,0.0260699462798075,7.957910867590783,-0.5,10.1,34.29723502304147,0.0007269538230634
3,3,21,22,"Ποιο ήταν το επάγγελμα του κυρ Παντελή;
 Τι τον ρώτησαν τα παιδιά;
 Τι άρεσε πιο πολύ στον κυρ Παντελή από το επάγγελμά του;
 Ταξίδι
 στον κόσμο
 της γλώσσας
 Γιατί νομίζεις
 πως αγαπούσε
 τόσο πολύ το καροτσάκι του;
 Ζητήστε από τους μεγαλύτερους να σας μιλήσουν για επαγγέλματα που
 δεν υπάρχουν πια. Φτιάξτε ένα λεύκωμα με τα επαγγέλματα αυτά.
 Θέλετε να χωριστείτε
 σε ομάδες και να γίνετε μικροί δημοσιογράφοι;
 Διαλέξτε
 ένα επάγγελμα
 και σκεφτείτε
",language,2,2,2.053410595397059,0.0167421934961554,3,3.0000449634007964,5.142089330483996e-05,3,3.025813452213697,0.0098454791088821,3,2.9739450391498394,0.0657963036169977,3,2.67919092542661,0.0503989086331696,2,2.0000008504611344,1.615426051423936e-06,3,3.4746785436767595,0.0575368201999012,7.3486254635200225,3,3.000223878801989,0.0001801464393813,7.962672836952592,5.6,14.7,54.18143459915612,0.0012014755152043
4,4,26,27,"νια ήταν η νεροσφυρίχτρα. Είναι ένα είδος σφυρίχτρας που έχει σχεδόν σφαιρικό σχήμα, χαμηλό ποδαράκι, λαιμό και στόμιο πολύ ανοιχτό. Η συγκεκριμένη, μάλιστα, είναι ζωγραφισμένη με λουλούδια.
 Πλάγια και στο ύψος του χερουλιού ξεκινά ένα μικρό πήλινο σωληνάκι από
 όπου κανείς σφυρίζει.
 Όταν η νεροσφυρίχτρα είναι άδεια και κάποιος φυσήξει από το σωληνάκι,
 ακούγεται ένα συνεχές σφύριγμα. Όταν όμως είναι γεμάτη νερό, οι φυσαλίδες του αέρα που περνούν από το νερό αναδίδουν ένα είδος γαργαρίσματος
 Ταξίδι
 στον κόσμο
 τηςΤότε
 γλώσσας
 που μοιάζει
 με κελάηδημα
 πουλιού.
 λένε ότι «η λαλίτσα γουργουρίζει».
 Εφημερίδα «Το λαλουσάκι» του
 Μουσείου Ελληνικής Λαϊκής Τέχνης, τ. 170, Μάιος 2004
",language,2,3,2.989025770951918,0.0048655977840832,3,3.000379645952961,0.000271081107218,4,4.032549896690398,0.0120379839542448,3,3.392677454009572,0.0586079673860451,3,2.992653861070158,0.0037489989974226,3,2.9999837221193957,2.0923220316789087e-05,5,4.827002798112517,0.0416249596219774,7.000093932438176,3,3.000626578203523,0.0004218077308175,7.622457456600514,0.6,10.9,41.42440801457195,0.0008681871891273
5,5,28,29,"Κουλουράκια λαδιού
 Υλικά:
 3 ποτήρια ελαιόλαδο
 2 ποτήρια ζάχαρη
 1 κρασοπότηρο χυμό πορτοκάλι με λίγο
 λεμόνι
 1 κρασοπότηρο κανέλα βρασμένη
 3 κουταλιές ρακή
 2 κουταλάκια μπέικιν πάουντερ
 1 κουταλάκι σόδα
 1 ποτήρι σουσάμι καβουρντισμένο
 αλεύρι για μαλακή ζύμη, όσο σηκώσει
 (λιγότερο από 1,5 κιλό)
 Εκτέλεση:
 Χτυπάμε το ελαιόλαδο με τη ζάχαρη,
 προσθέτουμε τη σόδα διαλυμένη στον
 χυμό πορτοκαλιού, το κανελόζουμο, το
 μπέικιν πάουντερ διαλυμένο στη ρακή, το
 σουσάμι και τέλος το αλεύρι.
 Ζυμώνουμε μαλακή ζύμη και πλάθουμε
 τα κουλουράκια. Τα κουλουράκια πρέπει
 να ψηθούν στον φούρνο σε μέτρια
 θερμοκρασία.
",language,4,3,2.7312147739556565,0.0468447571674531,3,2.996830144638807,0.0017230210372656,4,4.038905787669535,0.0190403986806093,3,2.9302757696759727,0.0428111573685277,2,1.9890584566413665,0.0048969432822228,2,2.0066926312441957,0.0032267815385669,4,4.169111750517914,0.0460369813290798,7.025889870215906,3,2.998678801661299,0.0008155200748174,7.979669289730907,7.8,20.3,66.33993399339934,0.0014160420741982
6,6,55,56,"Να δίνω οδηγίες χρησιμοποιώντας
 διαφορετικές εγκλίσεις.
 Να διακρίνω ποιες προτάσεις είναι
 ελλειπτικές.
 Να κλίνω και να γράφω σωστά τα
 ρήματα στην εξακολουθητική υποτακτική και στην εξακολουθητική
 προστακτική.
 Να περιγράφω με λεπτομέρειες ένα
 περιστατικό.
 Να βρίσκω παράγωγες και σύνθετες
 λέξεις με τη λέξη «δρόμος» και τη
 λέξη «τροχός».
 Να ξεχωρίζω και να γράφω σωστά
 τις λέξεις: παίρνω-περνώ και παίζωπεζός.
 Να αναγνωρίζω βασικά σήματα της
 Τροχαίας.
 Να κλίνω ουδέτερα ουσιαστικά ανισοσύλλαβα σε -μα.
",language,4,3,3.946872366461321,0.0810370925648839,4,4.020152793194924,0.0081115485327748,5,5.026444605365455,0.0134395299576974,4,4.210847954545898,0.0628938436706942,4,3.6805226528747426,0.0509865725556879,4,3.531210283065178,0.0555057759909253,7,6.673296855247656,0.0578641664942288,7.997751789131144,4,4.377123167358604,0.0534357178818007,7.867032534046018,-0.4,11.6,37.49418604651163,0.000917870260832
7,7,34,35,"1 2 3
 14. Με προσκαλούν και προσκαλώ
 4 5 6
 7 8 Διάβασε
 9 τώρα το παρακάτω κείμενο.
 Το μυστικό τραγούδι της Μάτας
 Έτριψε βιαστικά τα δόντια της με την οδοντόβουρτσα
 κι έτρεξε στο
 15. Αλληλογραφώ
 κρεβάτι της. Σ’ ένα λεπτό μπήκε κι ο μπαμπάς.
 — Καληνύχτα κοριτσάκι, είπε, και... φυσικά να τα εκατοστίσεις.
 «Καληνύχτα» έγνεψε η Μάτα και κρυφογέλασε. Όλο «φυσικά» και
 «φυσικά» έλεγε ο μπαμπάς: φυσικομπαμπάς σκέτος.
 Αμέσως μετά, «τσακ τσακ» τα τακουνάκια της μαμάς.
 — Καληνύχτα, Μάτα μου, να τα εκατοστίσεις, χιλιόχρονη, είπε.
 «Καληνύχτα, μαμά» έγνεψε η Μάτα κι έκλεισε τα μάτια της.
 Μόλις έκλεισε πίσω της η πόρτα, η Μάτα πετάχτηκε σαν ελατήριο.
 Έτρεξε και κλείδωσε και βιαστικά τράβηξε στο κρεβάτι της όλα της τα
 δώρα: πακέτα με παπούτσια και κούκλες, σακούλες με μπουφάν και χρυσές
 κορδελίτσες, καινούριο σκουφί και κασκόλ... και φυσικά, τα16.
 απαραίτητα
 Νιώθω
 βιβλία της νονάς. Αχ! Αυτή η νονά! Κοντεύει να της γεμίσει τα ράφια.
 Όμορφα που ήταν απόψε, κι η τούρτα τεράστια, ολόασπρη σαν
 χιονισμένο βουνό γεμάτη σαντιγί και ανανάδες και πάνω να γράφει: «Να τα
 εκατοστίσεις», και εννέα κεράκια που τα έσβησε μεμιάς! Κι όλοι
",language,2,5,4.763991030131408,0.0459177378872441,3,3.000203100396398,0.0001555943211897,4,3.874473947191177,0.0344577098512266,3,3.2256565230343313,0.0442488992824697,3,2.9149168089595534,0.0233870190956456,3,2.9998205988434847,0.0001388817279527,4,4.128100499493485,0.0401376522015958,7.015898139894489,3,3.04742721878074,0.0153293336531155,7.8175734418551315,-0.1,7.3,32.69438301636444,0.0007868334898304
8,8,11,12,"Το Μοιρολόγι της Παναγίας
 Σήμερα μαύρος ουρανός, σήμερα μαύρη μέρα.
 Σήμερα όλοι θλίβονται και τα βουνά λυπούνται.
 Ο Κύριος ηθέλησε να μπει σε περιβόλι,
 να λάβει Δείπνο Μυστικό, για να τον λάβουν όλοι.
 Κι η Παναγιά η Δέσποινα καθόταν μοναχή της,
 την προσευχή της έκανε για τον μονογενή της.
 Κι εκεί που προσευχότανε κι έκανε τις μετάνοιες,
 φωνή τής ήρθε εξ ουρανού κι απ’ Αρχαγγέλου στόμα:
 – Φτάνουν, Κυρά, οι προσευχές! Φτάνουν και οι μετάνοιες!
 Τον Γιο σου τον επιάσανε, στη φυλακή τον πάνε.
 Σαν κλέφτη τον επιάσανε και σαν ληστή τον πάνε
 και στου Πιλάτου τα σκαλιά, εκεί τον τυραννάνε.
 Η Παναγιά, σαν τ’ άκουσε, έπεσε και λιγώθη.
 Πάει η Μάρθα, η Μαγδαληνή και του Προδρόμου η μάνα
 και του Ιακώβου η αδερφή κι οι τέσσερις αντάμα.
 Σταμνί νερό της ρίξανε, τρία καντάρια μόσχο
 και τρία μυροδόσταμο, για νά ’ρθει ο λογισμός της.
 Και σαν της ήρθε ο λογισμός και σαν της ήρθε ο νους της,
 παίρνουν τον δρόμο, το δρομί, στρατί το μονοπάτι.
 Το μονοπάτι τούς έβγαλε εις του χαλκιά* την πόρτα.
",language,6,5,4.293568112538196,0.0605278236548355,4,4.363820188453474,0.0571830147177413,5,5.379635811395019,0.0672666504490863,3,3.316038375836797,0.062361323797202,3,2.9863386113106394,0.0128599143572377,3,3.0475976808511405,0.0154082098418069,7,6.834652988141443,0.0350941638843037,7.9923654330305,5,4.524522664513,0.0628396377549559,7.835480117905945,1.4,7.3,33.78027235921972,0.0008884115117914
9,9,4,5,"Αγαπητό ημερολόγιο,
 από προχτές ακούμε στο ραδιόφωνο έναν
 παράξενο σταθμό. Είναι ο ραδιοσταθμός
 των φοιτητών, που καλούν τους Αθηναίους
 να πάνε στο Πολυτεχνείο. Κατεβήκαμε και
 εμείς μαζί με τον μπαμπά να δούμε, όπως
 είπε ο μπαμπάς, κάτι «γενναία παιδιά».
 Φτάσαμε σε ένα μεγάλο κτίριο σαν αρχαίο, που γύρω του είχε μια
 μεγάλη αυλή με κάτι δέντρα που νομίζω πως τα λένε φοίνικες. «Αυτό
 είναι το Πολυτεχνείο» είπε ο μπαμπάς μου. Γύρω από την αυλή είχε ψηλά
 Ταξίδι
",language,2,3,2.99345358860046,0.003336023809459,3,3.000230472492955,0.0001741302595605,4,3.9245322499000395,0.0272561512059492,4,3.759880574012641,0.0761111461262447,3,2.999379445605882,0.0004269929664078,3,2.9579126082994662,0.0140153391780696,4,4.046655059464683,0.0310134539992277,7.009670989151346,3,3.0024725283254554,0.0013910145897627,7.904650325712581,1.2,8.5,32.74908424908425,0.0008630338671133
